11:25:35 - CPU: 4.8% | Memory: 36.7% (63.4 GB)
11:25:36 - CPU: 7.3% | Memory: 36.7% (63.4 GB)
11:25:37 - CPU: 4.3% | Memory: 36.8% (63.5 GB)
11:25:38 - CPU: 4.7% | Memory: 36.8% (63.5 GB)
11:25:39 - CPU: 4.0% | Memory: 36.8% (63.5 GB)
11:25:40 - CPU: 4.3% | Memory: 36.8% (63.6 GB)
11:25:41 - CPU: 4.3% | Memory: 36.8% (63.5 GB)
11:25:42 - CPU: 4.7% | Memory: 36.8% (63.5 GB)
11:25:43 - CPU: 5.1% | Memory: 36.9% (63.8 GB)
11:25:44 - CPU: 10.3% | Memory: 37.0% (64.0 GB)
11:25:45 - CPU: 5.1% | Memory: 37.0% (63.9 GB)
11:25:46 - CPU: 4.5% | Memory: 37.0% (63.9 GB)
11:25:47 - CPU: 9.5% | Memory: 37.1% (64.1 GB)
11:25:48 - CPU: 4.8% | Memory: 37.1% (64.1 GB)
11:25:49 - CPU: 4.5% | Memory: 37.1% (64.1 GB)
11:25:50 - CPU: 4.8% | Memory: 37.0% (64.0 GB)
11:25:51 - CPU: 8.3% | Memory: 37.1% (64.1 GB)
11:25:52 - CPU: 4.7% | Memory: 37.1% (64.1 GB)
11:25:53 - CPU: 4.7% | Memory: 37.0% (64.0 GB)
11:25:54 - CPU: 7.5% | Memory: 37.0% (63.9 GB)
11:25:55 - CPU: 7.0% | Memory: 37.2% (64.2 GB)
11:25:56 - CPU: 12.2% | Memory: 37.2% (64.4 GB)
11:25:57 - CPU: 17.1% | Memory: 37.6% (65.0 GB)
11:25:58 - CPU: 20.3% | Memory: 37.6% (65.0 GB)
11:25:59 - CPU: 21.2% | Memory: 37.3% (64.5 GB)
11:26:00 - CPU: 16.7% | Memory: 37.6% (64.9 GB)
11:26:01 - CPU: 23.1% | Memory: 37.5% (64.9 GB)
11:26:02 - CPU: 19.6% | Memory: 37.3% (64.5 GB)
